Curb-weight,Engine Size,Horsepower,City-mpg,Highway-mpg,Price,Target
2548,130,111,21,27,13495,alfa-romero
2548,130,111,21,27,16500,alfa-romero
2823,152,154,19,26,16500,alfa-romero
2337,109,102,24,30,13950,audi
2824,136,115,18,22,17450,audi
2507,136,110,19,25,15250,audi
2844,136,110,19,25,17710,audi
2954,136,110,19,25,18920,audi
3086,131,140,17,20,23875,audi
2395,108,101,23,29,16430,bmw
2395,108,101,23,29,16925,bmw
2710,164,121,21,28,20970,bmw
2765,164,121,21,28,21105,bmw
3055,164,121,20,25,24565,bmw
3230,209,182,16,22,30760,bmw
3380,209,182,16,22,41315,bmw
3505,209,182,15,20,36880,bmw
1488,61,48,47,53,5151,chevrolet
1874,90,70,38,43,6295,chevrolet
1909,90,70,38,43,6575,chevrolet
1876,90,68,37,41,5572,dodge
1876,90,68,31,38,6377,dodge
2128,98,102,24,30,7957,dodge
1967,90,68,31,38,6229,dodge
1989,90,68,31,38,6692,dodge
1989,90,68,31,38,7609,dodge
2191,98,102,24,30,8558,dodge
2535,122,88,24,30,8921,dodge
2811,156,145,19,24,12964,dodge
1713,92,58,49,54,6479,honda
1819,92,76,31,38,6855,honda
1837,79,60,38,42,5399,honda
1940,92,76,30,34,6529,honda
1956,92,76,30,34,7129,honda
2010,92,76,30,34,7295,honda
2024,92,76,30,34,7295,honda
2236,110,86,27,33,7895,honda
2289,110,86,27,33,9095,honda
2304,110,86,27,33,8845,honda
2372,110,86,27,33,10295,honda
2465,110,101,24,28,12945,honda
2293,110,100,25,31,10345,honda
2337,111,78,24,29,6785,isuzu
2734,119,90,24,29,11048,isuzu
4066,258,176,15,19,32250,jaguar
4066,258,176,15,19,35550,jaguar
3950,326,262,13,17,36000,jaguar
1890,91,68,30,31,5195,mazda
1900,91,68,31,38,6095,mazda
1905,91,68,31,38,6795,mazda
1945,91,68,31,38,6695,mazda
1950,91,68,31,38,7395,mazda
2380,70,101,17,23,10945,mazda
2380,70,101,17,23,11845,mazda
2385,70,101,17,23,13645,mazda
2500,80,135,16,23,15645,mazda
2385,122,84,26,32,8845,mazda
2410,122,84,26,32,8495,mazda
2385,122,84,26,32,10595,mazda
2410,122,84,26,32,10245,mazda
2443,122,64,36,42,10795,mazda
2425,122,84,26,32,11245,mazda
2670,140,120,19,27,18280,mazda
2700,134,72,31,39,18344,mazda
3515,183,123,22,25,25552,mercedes-benz
3750,183,123,22,25,28248,mercedes-benz
3495,183,123,22,25,28176,mercedes-benz
3770,183,123,22,25,31600,mercedes-benz
3740,234,155,16,18,34184,mercedes-benz
3685,234,155,16,18,35056,mercedes-benz
3900,308,184,14,16,40960,mercedes-benz
3715,304,184,14,16,45400,mercedes-benz
2910,140,175,19,24,16503,mercury
1918,92,68,37,41,5389,mitsubishi
1944,92,68,31,38,6189,mitsubishi
2004,92,68,31,38,6669,mitsubishi
2145,98,102,24,30,7689,mitsubishi
2370,110,116,23,30,9959,mitsubishi
2328,122,88,25,32,8499,mitsubishi
2833,156,145,19,24,12629,mitsubishi
2921,156,145,19,24,14869,mitsubishi
2926,156,145,19,24,14489,mitsubishi
2365,122,88,25,32,6989,mitsubishi
2405,122,88,25,32,8189,mitsubishi
2403,110,116,23,30,9279,mitsubishi
2403,110,116,23,30,9279,mitsubishi
1889,97,69,31,37,5499,nissan
2017,103,55,45,50,7099,nissan
1918,97,69,31,37,6649,nissan
1938,97,69,31,37,6849,nissan
2024,97,69,31,37,7349,nissan
1951,97,69,31,37,7299,nissan
2028,97,69,31,37,7799,nissan
1971,97,69,31,37,7499,nissan
2037,97,69,31,37,7999,nissan
2008,97,69,31,37,8249,nissan
2324,120,97,27,34,8949,nissan
2302,120,97,27,34,9549,nissan
3095,181,152,17,22,13499,nissan
3296,181,152,17,22,14399,nissan
3060,181,152,19,25,13499,nissan
3071,181,160,19,25,17199,nissan
3139,181,200,17,23,19699,nissan
3139,181,160,19,25,18399,nissan
3020,120,97,19,24,11900,peugot
3197,152,95,28,33,13200,peugot
3230,120,97,19,24,12440,peugot
3430,152,95,25,25,13860,peugot
3075,120,95,19,24,15580,peugot
3252,152,95,28,33,16900,peugot
3285,120,95,19,24,16695,peugot
3485,152,95,25,25,17075,peugot
3075,120,97,19,24,16630,peugot
3252,152,95,28,33,17950,peugot
3130,134,142,18,24,18150,peugot
1918,90,68,37,41,5572,plymouth
2128,98,102,24,30,7957,plymouth
1967,90,68,31,38,6229,plymouth
1989,90,68,31,38,6692,plymouth
2191,98,68,31,38,7609,plymouth
2535,122,88,24,30,8921,plymouth
2818,156,145,19,24,12764,plymouth
2778,151,143,19,27,22018,porsche
2756,194,207,17,25,32528,porsche
2756,194,207,17,25,34028,porsche
2800,194,207,17,25,37028,porsche
2658,121,110,21,28,11850,saab
2695,121,110,21,28,12170,saab
2707,121,110,21,28,15040,saab
2758,121,110,21,28,15510,saab
2808,121,160,19,26,18150,saab
2847,121,160,19,26,18620,saab
2050,97,69,31,36,5118,subaru
2120,108,73,26,31,7053,subaru
2240,108,73,26,31,7603,subaru
2145,108,82,32,37,7126,subaru
2190,108,82,28,33,7775,subaru
2340,108,94,26,32,9960,subaru
2385,108,82,24,25,9233,subaru
2510,108,111,24,29,11259,subaru
2290,108,82,28,32,7463,subaru
2455,108,94,25,31,10198,subaru
2420,108,82,23,29,8013,subaru
2650,108,111,23,23,11694,subaru
1985,92,62,35,39,5348,toyota
2040,92,62,31,38,6338,toyota
2015,92,62,31,38,6488,toyota
2280,92,62,31,37,6918,toyota
2290,92,62,27,32,7898,toyota
3110,92,62,27,32,8778,toyota
2081,98,70,30,37,6938,toyota
2109,98,70,30,37,7198,toyota
2275,110,56,34,36,7898,toyota
2275,110,56,38,47,7788,toyota
