,Curb-weight,Engine Size,Horsepower,City-mpg,Highway-mpg,Price,Number of Cylinders
0,2548.0,130.0,111.0,21.0,27.0,13495.0,four
1,2548.0,130.0,111.0,21.0,27.0,16500.0,four
2,2823.0,152.0,154.0,19.0,26.0,16500.0,six
3,2337.0,109.0,102.0,24.0,30.0,13950.0,four
4,2824.0,136.0,115.0,18.0,22.0,17450.0,five
5,2507.0,136.0,110.0,19.0,25.0,15250.0,five
6,2844.0,136.0,110.0,19.0,25.0,17710.0,five
7,2954.0,136.0,110.0,19.0,25.0,18920.0,five
8,3086.0,131.0,140.0,17.0,20.0,23875.0,five
9,,,,,,,four
10,2395.0,108.0,101.0,23.0,29.0,16430.0,four
11,2395.0,108.0,101.0,23.0,29.0,16925.0,six
12,2710.0,164.0,121.0,21.0,28.0,20970.0,six
13,2765.0,164.0,121.0,21.0,28.0,21105.0,six
14,3055.0,164.0,121.0,20.0,25.0,24565.0,six
15,3230.0,209.0,182.0,16.0,22.0,30760.0,six
16,3380.0,209.0,182.0,16.0,22.0,41315.0,six
17,3505.0,209.0,182.0,15.0,20.0,36880.0,three
18,1488.0,61.0,48.0,47.0,53.0,5151.0,four
19,1874.0,90.0,70.0,38.0,43.0,6295.0,four
20,1909.0,90.0,70.0,38.0,43.0,6575.0,four
21,1876.0,90.0,68.0,37.0,41.0,5572.0,four
22,1876.0,90.0,68.0,31.0,38.0,6377.0,four
23,2128.0,98.0,102.0,24.0,30.0,7957.0,four
24,1967.0,90.0,68.0,31.0,38.0,6229.0,four
25,1989.0,90.0,68.0,31.0,38.0,6692.0,four
26,1989.0,90.0,68.0,31.0,38.0,7609.0,four
27,2191.0,98.0,102.0,24.0,30.0,8558.0,four
28,2535.0,122.0,88.0,24.0,30.0,8921.0,four
29,2811.0,156.0,145.0,19.0,24.0,12964.0,four
30,1713.0,92.0,58.0,49.0,54.0,6479.0,four
31,1819.0,92.0,76.0,31.0,38.0,6855.0,four
32,1837.0,79.0,60.0,38.0,42.0,5399.0,four
33,1940.0,92.0,76.0,30.0,34.0,6529.0,four
34,1956.0,92.0,76.0,30.0,34.0,7129.0,four
35,2010.0,92.0,76.0,30.0,34.0,7295.0,four
36,2024.0,92.0,76.0,30.0,34.0,7295.0,four
37,2236.0,110.0,86.0,27.0,33.0,7895.0,four
38,2289.0,110.0,86.0,27.0,33.0,9095.0,four
39,2304.0,110.0,86.0,27.0,33.0,8845.0,four
40,2372.0,110.0,86.0,27.0,33.0,10295.0,four
41,2465.0,110.0,101.0,24.0,28.0,12945.0,four
42,2293.0,110.0,100.0,25.0,31.0,10345.0,four
43,2337.0,111.0,78.0,24.0,29.0,6785.0,four
44,,,,,,,six
45,,,,,,,six
46,2734.0,119.0,90.0,24.0,29.0,11048.0,twelve
47,4066.0,258.0,176.0,15.0,19.0,32250.0,four
48,4066.0,258.0,176.0,15.0,19.0,35550.0,four
49,3950.0,326.0,262.0,13.0,17.0,36000.0,four
50,1890.0,91.0,68.0,30.0,31.0,5195.0,four
51,1900.0,91.0,68.0,31.0,38.0,6095.0,four
52,1905.0,91.0,68.0,31.0,38.0,6795.0,two
53,1945.0,91.0,68.0,31.0,38.0,6695.0,two
54,1950.0,91.0,68.0,31.0,38.0,7395.0,two
55,2380.0,70.0,101.0,17.0,23.0,10945.0,two
56,2380.0,70.0,101.0,17.0,23.0,11845.0,four
57,2385.0,70.0,101.0,17.0,23.0,13645.0,four
58,2500.0,80.0,135.0,16.0,23.0,15645.0,four
59,2385.0,122.0,84.0,26.0,32.0,8845.0,four
60,2410.0,122.0,84.0,26.0,32.0,8495.0,four
61,2385.0,122.0,84.0,26.0,32.0,10595.0,four
62,2410.0,122.0,84.0,26.0,32.0,10245.0,four
63,2443.0,122.0,64.0,36.0,42.0,10795.0,four
64,2425.0,122.0,84.0,26.0,32.0,11245.0,five
65,2670.0,140.0,120.0,19.0,27.0,18280.0,five
66,2700.0,134.0,72.0,31.0,39.0,18344.0,five
67,3515.0,183.0,123.0,22.0,25.0,25552.0,five
68,3750.0,183.0,123.0,22.0,25.0,28248.0,eight
69,3495.0,183.0,123.0,22.0,25.0,28176.0,eight
70,3770.0,183.0,123.0,22.0,25.0,31600.0,eight
71,3740.0,234.0,155.0,16.0,18.0,34184.0,eight
72,3685.0,234.0,155.0,16.0,18.0,35056.0,four
73,3900.0,308.0,184.0,14.0,16.0,40960.0,four
74,3715.0,304.0,184.0,14.0,16.0,45400.0,four
75,2910.0,140.0,175.0,19.0,24.0,16503.0,four
76,1918.0,92.0,68.0,37.0,41.0,5389.0,four
77,1944.0,92.0,68.0,31.0,38.0,6189.0,four
78,2004.0,92.0,68.0,31.0,38.0,6669.0,four
79,2145.0,98.0,102.0,24.0,30.0,7689.0,four
80,2370.0,110.0,116.0,23.0,30.0,9959.0,four
81,2328.0,122.0,88.0,25.0,32.0,8499.0,four
82,2833.0,156.0,145.0,19.0,24.0,12629.0,four
83,2921.0,156.0,145.0,19.0,24.0,14869.0,four
84,2926.0,156.0,145.0,19.0,24.0,14489.0,four
85,2365.0,122.0,88.0,25.0,32.0,6989.0,four
86,2405.0,122.0,88.0,25.0,32.0,8189.0,four
87,2403.0,110.0,116.0,23.0,30.0,9279.0,four
88,2403.0,110.0,116.0,23.0,30.0,9279.0,four
89,1889.0,97.0,69.0,31.0,37.0,5499.0,four
90,2017.0,103.0,55.0,45.0,50.0,7099.0,four
91,1918.0,97.0,69.0,31.0,37.0,6649.0,four
92,1938.0,97.0,69.0,31.0,37.0,6849.0,four
93,2024.0,97.0,69.0,31.0,37.0,7349.0,four
94,1951.0,97.0,69.0,31.0,37.0,7299.0,four
95,2028.0,97.0,69.0,31.0,37.0,7799.0,four
96,1971.0,97.0,69.0,31.0,37.0,7499.0,four
97,2037.0,97.0,69.0,31.0,37.0,7999.0,four
98,2008.0,97.0,69.0,31.0,37.0,8249.0,six
99,2324.0,120.0,97.0,27.0,34.0,8949.0,six
100,2302.0,120.0,97.0,27.0,34.0,9549.0,six
101,3095.0,181.0,152.0,17.0,22.0,13499.0,six
102,3296.0,181.0,152.0,17.0,22.0,14399.0,six
103,3060.0,181.0,152.0,19.0,25.0,13499.0,six
104,3071.0,181.0,160.0,19.0,25.0,17199.0,four
105,3139.0,181.0,200.0,17.0,23.0,19699.0,four
106,3139.0,181.0,160.0,19.0,25.0,18399.0,four
107,3020.0,120.0,97.0,19.0,24.0,11900.0,four
108,3197.0,152.0,95.0,28.0,33.0,13200.0,four
109,3230.0,120.0,97.0,19.0,24.0,12440.0,four
110,3430.0,152.0,95.0,25.0,25.0,13860.0,four
111,3075.0,120.0,95.0,19.0,24.0,15580.0,four
112,3252.0,152.0,95.0,28.0,33.0,16900.0,four
113,3285.0,120.0,95.0,19.0,24.0,16695.0,four
114,3485.0,152.0,95.0,25.0,25.0,17075.0,four
115,3075.0,120.0,97.0,19.0,24.0,16630.0,four
116,3252.0,152.0,95.0,28.0,33.0,17950.0,four
117,3130.0,134.0,142.0,18.0,24.0,18150.0,four
118,1918.0,90.0,68.0,37.0,41.0,5572.0,four
119,2128.0,98.0,102.0,24.0,30.0,7957.0,four
120,1967.0,90.0,68.0,31.0,38.0,6229.0,four
121,1989.0,90.0,68.0,31.0,38.0,6692.0,four
122,2191.0,98.0,68.0,31.0,38.0,7609.0,four
123,2535.0,122.0,88.0,24.0,30.0,8921.0,six
124,2818.0,156.0,145.0,19.0,24.0,12764.0,six
125,2778.0,151.0,143.0,19.0,27.0,22018.0,six
126,2756.0,194.0,207.0,17.0,25.0,32528.0,four
127,2756.0,194.0,207.0,17.0,25.0,34028.0,four
128,2800.0,194.0,207.0,17.0,25.0,37028.0,four
129,,,,,,,four
130,,,,,,,four
131,,,,,,,four
132,2658.0,121.0,110.0,21.0,28.0,11850.0,four
133,2695.0,121.0,110.0,21.0,28.0,12170.0,four
134,2707.0,121.0,110.0,21.0,28.0,15040.0,four
135,2758.0,121.0,110.0,21.0,28.0,15510.0,four
136,2808.0,121.0,160.0,19.0,26.0,18150.0,four
137,2847.0,121.0,160.0,19.0,26.0,18620.0,four
138,2050.0,97.0,69.0,31.0,36.0,5118.0,four
139,2120.0,108.0,73.0,26.0,31.0,7053.0,four
140,2240.0,108.0,73.0,26.0,31.0,7603.0,four
141,2145.0,108.0,82.0,32.0,37.0,7126.0,four
142,2190.0,108.0,82.0,28.0,33.0,7775.0,four
143,2340.0,108.0,94.0,26.0,32.0,9960.0,four
144,2385.0,108.0,82.0,24.0,25.0,9233.0,four
145,2510.0,108.0,111.0,24.0,29.0,11259.0,four
146,2290.0,108.0,82.0,28.0,32.0,7463.0,four
147,2455.0,108.0,94.0,25.0,31.0,10198.0,four
148,2420.0,108.0,82.0,23.0,29.0,8013.0,four
149,2650.0,108.0,111.0,23.0,23.0,11694.0,four
150,1985.0,92.0,62.0,35.0,39.0,5348.0,four
151,2040.0,92.0,62.0,31.0,38.0,6338.0,four
152,2015.0,92.0,62.0,31.0,38.0,6488.0,four
153,2280.0,92.0,62.0,31.0,37.0,6918.0,four
154,2290.0,92.0,62.0,27.0,32.0,7898.0,four
155,3110.0,92.0,62.0,27.0,32.0,8778.0,four
156,2081.0,98.0,70.0,30.0,37.0,6938.0,four
157,2109.0,98.0,70.0,30.0,37.0,7198.0,four
158,2275.0,110.0,56.0,34.0,36.0,7898.0,four
159,2275.0,110.0,56.0,38.0,47.0,7788.0,four
160,2094.0,98.0,70.0,38.0,47.0,7738.0,four
161,2122.0,98.0,70.0,28.0,34.0,8358.0,four
162,2140.0,98.0,70.0,28.0,34.0,9258.0,four
163,2169.0,98.0,70.0,29.0,34.0,8058.0,four
164,2204.0,98.0,70.0,29.0,34.0,8238.0,four
165,2265.0,98.0,112.0,26.0,29.0,9298.0,four
166,2300.0,98.0,112.0,26.0,29.0,9538.0,four
167,2540.0,146.0,116.0,24.0,30.0,8449.0,four
168,2536.0,146.0,116.0,24.0,30.0,9639.0,four
169,2551.0,146.0,116.0,24.0,30.0,9989.0,four
170,2679.0,146.0,116.0,24.0,30.0,11199.0,four
171,2714.0,146.0,116.0,24.0,30.0,11549.0,four
172,2975.0,146.0,116.0,24.0,30.0,17669.0,six
173,2326.0,122.0,92.0,29.0,34.0,8948.0,six
174,2480.0,110.0,73.0,30.0,33.0,10698.0,six
175,2414.0,122.0,92.0,27.0,32.0,9988.0,six
176,2414.0,122.0,92.0,27.0,32.0,10898.0,four
177,2458.0,122.0,92.0,27.0,32.0,11248.0,four
178,2976.0,171.0,161.0,20.0,24.0,16558.0,four
179,3016.0,171.0,161.0,19.0,24.0,15998.0,four
180,3131.0,171.0,156.0,20.0,24.0,15690.0,four
181,3151.0,161.0,156.0,19.0,24.0,15750.0,four
182,2261.0,97.0,52.0,37.0,46.0,7775.0,four
183,2209.0,109.0,85.0,27.0,34.0,7975.0,four
184,2264.0,97.0,52.0,37.0,46.0,7995.0,four
185,2212.0,109.0,85.0,27.0,34.0,8195.0,five
186,2275.0,109.0,85.0,27.0,34.0,8495.0,four
187,2319.0,97.0,68.0,37.0,42.0,9495.0,four
188,2300.0,109.0,100.0,26.0,32.0,9995.0,four
189,2254.0,109.0,90.0,24.0,29.0,11595.0,four
190,2221.0,109.0,90.0,24.0,29.0,9980.0,four
191,2661.0,136.0,110.0,19.0,24.0,13295.0,four
192,2579.0,97.0,68.0,33.0,38.0,13845.0,four
193,2563.0,109.0,88.0,25.0,31.0,12290.0,four
194,2912.0,141.0,114.0,23.0,28.0,12940.0,four
195,3034.0,141.0,114.0,23.0,28.0,13415.0,four
196,2935.0,141.0,114.0,24.0,28.0,15985.0,six
197,3042.0,141.0,114.0,24.0,28.0,16515.0,six
198,3045.0,130.0,162.0,17.0,22.0,18420.0,four
199,3157.0,130.0,162.0,17.0,22.0,18950.0,
200,2952.0,141.0,114.0,23.0,28.0,16845.0,
